Outcome: win
Spanning Area: 381
Rows: 16, Cols: 30, Mines: 99
Clicked Mine: None
Last Move Prob: 0.0
Last Move Entropy: 0.0
Game Seed: 2144181937

0,0,0,1,0,2,-1.0000
0,1,0,1,0,2,-1.0000
0,2,0,1,0,1,-1.0000
0,3,0,1,0,1,-1.0000
0,4,0,1,0,1,-1.0000
0,5,0,1,0,3,-1.0000
0,6,1,0,0,0,-1.0000
0,7,1,0,0,2,-1.0000
0,8,0,1,0,1,-1.0000
0,9,0,1,0,0,-1.0000
0,10,0,1,0,1,-1.0000
0,11,0,1,0,2,-1.0000
0,12,0,1,0,2,-1.0000
0,13,0,1,0,3,-1.0000
0,14,1,0,0,1,-1.0000
0,15,0,1,0,3,-1.0000
0,16,1,0,0,0,-1.0000
0,17,0,1,0,1,-1.0000
0,18,0,1,0,1,-1.0000
0,19,1,0,0,0,-1.0000
0,20,0,1,0,1,-1.0000
0,21,0,1,0,0,-1.0000
0,22,0,1,0,0,-1.0000
0,23,0,1,0,0,-1.0000
0,24,0,1,0,1,-1.0000
0,25,1,0,0,0,-1.0000
0,26,0,1,0,1,-1.0000
0,27,0,1,0,1,-1.0000
0,28,1,0,0,0,-1.0000
0,29,0,1,0,2,-1.0000
1,0,1,0,0,1,-1.0000
1,1,1,0,0,0,-1.0000
1,2,0,1,0,1,-1.0000
1,3,0,1,0,1,-1.0000
1,4,1,0,0,0,-1.0000
1,5,0,1,0,4,-1.0000
1,6,1,0,0,2,-1.0000
1,7,0,1,0,4,-1.0000
1,8,0,1,0,1,-1.0000
1,9,0,1,0,0,-1.0000
1,10,0,1,0,1,-1.0000
1,11,1,0,0,0,-1.0000
1,12,1,0,0,2,-1.0000
1,13,0,1,0,4,-1.0000
1,14,1,0,0,0,-1.0000
1,15,0,1,0,4,-1.0000
1,16,0,1,0,2,-1.0000
1,17,0,1,0,2,-1.0000
1,18,0,1,0,1,-1.0000
1,19,0,1,0,1,-1.0000
1,20,0,1,0,1,-1.0000
1,21,0,1,0,0,-1.0000
1,22,0,1,0,1,-1.0000
1,23,0,1,0,2,-1.0000
1,24,0,1,0,3,-1.0000
1,25,0,1,0,2,-1.0000
1,26,0,1,0,1,-1.0000
1,27,0,1,0,1,-1.0000
1,28,0,1,0,3,-1.0000
1,29,1,0,0,2,-1.0000
2,0,0,1,0,3,-1.0000
2,1,0,1,0,3,-1.0000
2,2,0,1,0,1,-1.0000
2,3,0,1,0,1,-1.0000
2,4,0,1,0,1,-1.0000
2,5,0,1,0,3,-1.0000
2,6,1,0,0,0,-1.0000
2,7,0,1,0,2,-1.0000
2,8,0,1,0,0,-1.0000
2,9,0,1,0,0,-1.0000
2,10,0,1,0,1,-1.0000
2,11,0,1,0,3,-1.0000
2,12,0,1,0,4,-1.0000
2,13,1,0,0,2,-1.0000
2,14,0,1,0,2,-1.0000
2,15,0,1,0,2,-1.0000
2,16,1,0,0,0,-1.0000
2,17,0,1,0,1,-1.0000
2,18,0,1,0,1,-1.0000
2,19,0,1,0,1,-1.0000
2,20,0,1,0,1,-1.0000
2,21,0,1,0,0,-1.0000
2,22,0,1,0,1,-1.0000
2,23,1,0,0,2,-1.0000
2,24,1,0,0,0,-1.0000
2,25,0,1,0,2,-1.0000
2,26,0,1,0,1,-1.0000
2,27,0,1,0,1,-1.0000
2,28,0,1,0,3,-1.0000
2,29,1,0,0,0,-1.0000
3,0,1,0,0,0,-1.0000
3,1,0,1,0,1,-1.0000
3,2,0,1,0,0,-1.0000
3,3,0,1,0,1,-1.0000
3,4,0,1,0,2,-1.0000
3,5,0,1,0,3,-1.0000
3,6,0,1,0,2,-1.0000
3,7,0,1,0,1,-1.0000
3,8,0,1,0,0,-1.0000
3,9,0,1,0,0,-1.0000
3,10,0,1,0,0,-1.0000
3,11,0,1,0,1,-1.0000
3,12,1,0,0,0,-1.0000
3,13,0,1,0,2,-1.0000
3,14,0,1,0,1,-1.0000
3,15,0,1,0,2,-1.0000
3,16,0,1,0,2,-1.0000
3,17,0,1,0,2,-1.0000
3,18,0,1,0,1,-1.0000
3,19,1,0,0,0,-1.0000
3,20,0,1,0,2,-1.0000
3,21,0,1,0,1,-1.0000
3,22,0,1,0,3,-1.0000
3,23,0,1,0,4,-1.0000
3,24,1,0,0,1,-1.0000
3,25,0,1,0,2,-1.0000
3,26,0,1,0,1,-1.0000
3,27,1,0,0,0,-1.0000
3,28,0,1,0,3,-1.0000
3,29,0,1,0,2,-1.0000
4,0,0,1,0,1,-1.0000
4,1,0,1,0,1,-1.0000
4,2,0,1,0,0,-1.0000
4,3,0,1,0,1,-1.0000
4,4,1,0,0,0,-1.0000
4,5,1,0,0,1,-1.0000
4,6,0,1,0,1,-1.0000
4,7,0,1,0,0,-1.0000
4,8,0,1,0,1,-1.0000
4,9,0,1,0,1,-1.0000
4,10,0,1,0,1,-1.0000
4,11,0,1,0,1,-1.0000
4,12,0,1,0,1,-1.0000
4,13,0,1,0,1,-1.0000
4,14,0,1,0,0,-1.0000
4,15,0,1,0,1,-1.0000
4,16,1,0,0,0,-1.0000
4,17,0,1,0,1,-1.0000
4,18,0,1,0,1,-1.0000
4,19,0,1,0,1,-1.0000
4,20,0,1,0,2,-1.0000
4,21,1,0,0,0,-1.0000
4,22,0,1,0,3,-1.0000
4,23,1,0,0,1,-1.0000
4,24,0,1,0,2,-1.0000
4,25,0,1,0,1,-1.0000
4,26,0,1,0,1,-1.0000
4,27,0,1,0,1,-1.0000
4,28,0,1,0,2,-1.0000
4,29,1,0,0,0,-1.0000
5,0,0,1,0,0,-1.0000
5,1,0,1,0,1,-1.0000
5,2,0,1,0,1,-1.0000
5,3,0,1,0,2,-1.0000
5,4,0,1,0,2,-1.0000
5,5,0,1,0,2,-1.0000
5,6,0,1,0,1,-1.0000
5,7,0,1,0,0,-1.0000
5,8,0,1,0,1,-1.0000
5,9,1,0,0,0,-1.0000
5,10,0,1,0,2,-1.0000
5,11,0,1,0,2,-1.0000
5,12,0,1,0,1,-1.0000
5,13,0,1,0,1,-1.0000
5,14,0,1,0,0,-1.0000
5,15,0,1,0,1,-1.0000
5,16,0,1,0,1,-1.0000
5,17,0,1,0,1,-1.0000
5,18,0,1,0,1,-1.0000
5,19,0,1,0,2,-1.0000
5,20,0,1,0,3,-1.0000
5,21,0,1,0,4,-1.0000
5,22,1,0,0,4,-1.0000
5,23,0,1,0,4,-1.0000
5,24,0,1,0,2,-1.0000
5,25,0,1,0,1,-1.0000
5,26,0,1,0,2,-1.0000
5,27,0,1,0,2,-1.0000
5,28,0,1,0,2,-1.0000
5,29,0,1,0,1,-1.0000
6,0,0,1,0,1,-1.0000
6,1,0,1,0,3,-1.0000
6,2,1,0,0,0,-1.0000
