Outcome,Spanning Area,Rows,Cols,Mines,Flags Placed,Mode,Duration (s),Last Move Prob,Last Move Entropy,Game Seed,State File
lose,4,16,30,99,0,Auto,1.52,0.1702,0.1702,1392783743,screenshots/lose_20260317_214946_span4.txt
win,381,16,30,99,0,Auto,9.75,0,0,983753977,screenshots/win_20260317_214958_span381.txt
lose,165,16,30,99,0,Auto,6,0.1836,0.1836,137869475,screenshots/lose_20260317_215005_span165.txt
win,381,16,30,99,0,Auto,8.18,0,0,1354860540,screenshots/win_20260317_215014_span381.txt
lose,41,16,30,99,0,Auto,1.44,0.1981,0.1981,1722989659,screenshots/lose_20260317_215016_span41.txt
lose,2,16,30,99,0,Auto,1.39,0.2059,0.2059,1149938334,screenshots/lose_20260317_215018_span2.txt
lose,39,16,30,99,0,Auto,2.71,0.1963,0.1963,284277889,screenshots/lose_20260317_215021_span39.txt
win,381,16,30,99,0,Auto,11.97,0,0,906164396,screenshots/win_20260317_215034_span381.txt
win,381,16,30,99,0,Auto,11.04,0,0,1351531223,screenshots/win_20260317_215046_span381.txt
win,381,16,30,99,0,Auto,10.62,0,0,913224047,screenshots/win_20260317_215057_span381.txt
win,381,16,30,99,0,Auto,10.42,0,0,2144181937,screenshots/win_20260317_215108_span381.txt
lose,28,16,30,99,0,Auto,2.95,0.0351,0.0351,1699226064,screenshots/lose_20260317_215112_span28.txt
lose,141,16,30,99,0,Auto,4.81,0.0959,0.0959,613628803,screenshots/lose_20260317_215119_span141.txt
win,381,16,30,99,0,Auto,11.7,0,0,1137651678,screenshots/win_20260317_215131_span381.txt
win,381,16,30,99,0,Auto,9.24,0,0,599707677,screenshots/win_20260317_215141_span381.txt
lose,3,16,30,99,0,Auto,1.3,0.1375,0.1375,1059257080,screenshots/lose_20260317_215143_span3.txt
win,381,16,30,99,0,Auto,9.35,0,0,1840109255,screenshots/win_20260317_215155_span381.txt
lose,378,16,30,99,0,Auto,10.61,0.4801,0.4801,1554762903,screenshots/lose_20260317_215208_span378.txt
win,381,16,30,99,0,Auto,9.71,0,0,2119634399,screenshots/win_20260317_215222_span381.txt
lose,46,16,30,99,0,Auto,3.3,0.0146,0.0146,390452952,screenshots/lose_20260317_215226_span46.txt
lose,380,16,30,99,0,Auto,9.04,0.5,0.5,202363285,screenshots/lose_20260317_215236_span380.txt
lose,352,16,30,99,0,Auto,10.79,0.1327,0.1327,470939445,screenshots/lose_20260317_215247_span352.txt
win,381,16,30,99,0,Auto,11.29,0,0,656448479,screenshots/win_20260317_215259_span381.txt
lose,381,16,30,99,0,Auto,8.2,0.5,0.5,687117441,screenshots/lose_20260317_215308_span381.txt
lose,378,16,30,99,0,Auto,8.43,0.4049,0.4049,1813163240,screenshots/lose_20260317_215317_span378.txt
win,381,16,30,99,0,Auto,9.05,0,0,272849424,screenshots/win_20260317_215327_span381.txt
lose,359,16,30,99,0,Auto,8.12,0.2157,0.2157,1652563013,screenshots/lose_20260317_215335_span359.txt
lose,3,16,30,99,0,Auto,1.25,0.2041,0.2041,2010258946,screenshots/lose_20260317_215339_span3.txt
lose,21,16,30,99,0,Auto,2.3,0.1958,0.1958,1079815404,screenshots/lose_20260317_215342_span21.txt
lose,380,16,30,99,0,Auto,10.05,0.5,0.5,49310608,screenshots/lose_20260317_215353_span380.txt
lose,11,16,30,99,0,Auto,1.7,0.0743,0.0743,491995979,screenshots/lose_20260317_215355_span11.txt
lose,362,16,30,99,0,Auto,10.57,0.0371,0.0371,1146005448,screenshots/lose_20260317_215407_span362.txt
win,381,16,30,99,0,Auto,8.84,0,0,1461042543,screenshots/win_20260317_215416_span381.txt
lose,2,16,30,99,0,Auto,1.04,0.2059,0.2059,479112937,screenshots/lose_20260317_215418_span2.txt
win,381,16,30,99,0,Auto,10.68,0.5,0.5,1867302554,screenshots/win_20260317_215431_span381.txt
lose,3,16,30,99,0,Auto,1.18,0.2006,0.2006,679282378,screenshots/lose_20260317_215433_span3.txt
lose,381,16,30,99,0,Auto,9.69,0.5,0.5,1948728483,screenshots/lose_20260317_215443_span381.txt
lose,14,16,30,99,0,Auto,1.23,0.2022,0.2022,13938521,screenshots/lose_20260317_215445_span14.txt
lose,380,16,30,99,0,Auto,9.12,0.5,0.5,767303988,screenshots/lose_20260317_215457_span380.txt
win,381,16,30,99,0,Auto,10.15,0,0,1281810600,screenshots/win_20260317_215509_span381.txt
win,381,16,30,99,0,Auto,10.29,0,0,854316681,screenshots/win_20260317_215520_span381.txt
lose,10,16,30,99,0,Auto,1.43,0.2027,0.2027,1605947756,screenshots/lose_20260317_215524_span10.txt
lose,3,16,30,99,0,Auto,1.12,0.2045,0.2045,693847829,screenshots/lose_20260317_215526_span3.txt
win,381,16,30,99,0,Auto,10.72,0,0,2456273,screenshots/win_20260317_215537_span381.txt
lose,54,16,30,99,0,Auto,2.81,0.2029,0.2029,1392239675,screenshots/lose_20260317_215541_span54.txt
lose,4,16,30,99,0,Auto,1.46,0.2064,0.2064,83651970,screenshots/lose_20260317_215544_span4.txt
win,381,16,30,99,0,Auto,9.49,0.5,0.5,480468219,screenshots/win_20260317_215555_span381.txt
